Category,Data.Carbohydrate,Data.Cholesterol,Data.Fiber,Data.Protein,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,cluster
Stewed chicken with tomato-based sauce,2.46,49.0,0.5,11.98,2.651,2.159,1.513,7.06,0.56,14.0,111.0,189.0,397.0,0.76,8.0,0.16,0.137,3.4,0.87,2.0,13
Stewed chitterlings,3.82,172.0,1.0,8.4,8.606,1.407,6.74,18.51,1.18,13.0,57.0,142.0,56.0,1.26,15.0,0.26,0.099,21.1,1.47,7.5,11
Stewed codfish,6.375,32.5,1.2000000000000002,11.46,2.845,0.5369999999999999,0.6405000000000001,4.22,0.595,19.0,160.5,259.5,94.5,0.31,9.0,1.065,0.18,18.4,1.365,5.2,3
Stewed corned beef,10.32,39.0,1.4,13.43,5.728,0.792,3.518,11.15,1.46,20.0,85.0,306.0,499.0,1.78,3.0,0.68,0.217,7.8,0.76,4.4,1
Stewed dried beef,3.88,45.0,0.8,17.69,7.444,7.62,3.215,19.15,1.64,16.0,113.0,219.0,1755.0,2.78,8.0,0.65,0.158,7.0,2.97,6.0,4
Stewed gizzards,4.4,237.0,1.1,20.25,3.651,2.333,1.738,8.68,2.5,11.0,138.0,239.0,380.0,2.94,79.0,0.67,0.111,6.2,1.12,17.3,7
Stewed goat,1.99,63.0,0.5,22.31,11.759,1.872,3.544,18.08,3.05,5.0,178.0,385.0,752.0,4.16,8.0,0.93,0.051,4.3,2.24,9.4,13
Stewed pig's feet,4.13,44.0,0.5,9.99,4.077,1.42,2.269,8.7,0.77,11.0,67.0,180.0,483.0,0.68,59.0,0.22,0.111,5.4,0.49,3.2,13
Stewed pork,2.77,54.0,0.7,17.92,7.671,1.37,2.837,12.69,1.1,26.0,190.0,402.0,579.0,1.91,8.0,0.4,0.39,7.3,1.6,7.2,1
Stewed potatoes,19.335,1.0,1.65,1.97,1.8245,0.8825000000000001,0.6145,3.47,0.36,21.5,45.5,343.5,224.0,0.295,1.5,0.005,0.2725,11.4,0.415,4.65,10
Stewed potatoes with tomatoes,15.4,0.0,1.4,1.61,1.281,1.307,0.442,3.17,0.33,20.0,42.0,334.0,147.0,0.25,13.0,0.0,0.221,12.7,0.56,6.5,10
Stewed rabbit,6.83,46.0,1.0,17.14,7.156,1.751,2.479,12.7,1.73,21.0,145.0,342.0,440.0,1.4,2.0,2.26,0.227,6.0,1.57,6.8,1
Stewed rice,33.43,4.0,0.7,3.96,3.443,2.354,1.663,7.8,1.79,13.0,58.0,81.0,654.0,0.57,2.0,0.02,0.088,2.7,0.76,6.8,4
Stewed salmon,8.47,31.0,1.3,12.02,2.669,2.294,1.066,7.02,0.84,29.0,215.0,401.0,448.0,0.58,12.0,2.33,0.279,7.2,1.1,5.4,1
Stewed seasoned ground beef,2.605,52.5,0.6,13.3,9.487,1.9735,6.351,20.07,1.71,17.5,130.5,284.0,448.5,3.13,9.5,1.155,0.1785,7.75,1.12,6.0,1
Stewed tripe,9.45,53.0,1.7,8.57,1.392,1.214,0.961,4.07,0.86,21.0,83.0,273.0,561.0,1.04,49.0,0.46,0.149,15.5,0.6,2.9,13
Stewed variety meats,5.74,201.0,1.0,15.78,0.514,0.513,1.255,2.49,3.13,15.0,232.0,278.0,337.0,2.73,3670.0,27.45,0.491,21.1,0.46,4.8,2
Stinger,11.89,0.0,0.0,0.0,0.004,0.048,0.004,0.09,0.05,0.0,3.0,1.0,2.0,0.04,0.0,0.0,0.001,0.0,0.0,0.0,6
Stir fried beef and vegetables in soy sauce,4.25,67.0,0.9,10.85,1.412,0.402,1.429,3.68,1.1,18.0,124.0,255.0,342.0,1.84,23.0,0.46,0.251,3.2,0.37,18.7,1
Strawberries,13.446666666666667,0.0,1.9333333333333331,0.5533333333333333,0.0313333333333333,0.1126666666666666,0.0116666666666666,0.2233333333333333,0.5499999999999999,10.666666666666666,16.333333333333332,129.0,2.333333333333333,0.12,1.3333333333333333,0.0,0.0413333333333333,43.9,0.2566666666666666,1.9666666666666668,0
Strawberry beverage powder,99.1,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.44,1.0,5.0,6.0,38.0,0.0,0.0,0.0,0.002,0.3,0.0,0.0,6
Strawberry drink syrup,65.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,1.0,0.0,1.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,6
Strawberry juice,7.8,0.0,0.1,0.3,0.058,0.344,0.018,0.6,0.48,21.0,12.0,135.0,1.0,0.41,6.0,0.0,0.021,11.3,0.9,15.2,5
Strawberry milk,10.212857142857144,5.714285714285714,0.0285714285714285,2.932857142857143,0.3241428571428572,0.1118571428571428,0.7327142857142858,1.3885714285714286,0.0671428571428571,11.285714285714286,87.57142857142857,141.57142857142858,41.71428571428572,0.3714285714285714,60.57142857142857,0.5228571428571429,0.0508571428571428,0.0571428571428571,0.2071428571428571,0.3285714285714285,14
