Category,Data.Carbohydrate,Data.Cholesterol,Data.Fiber,Data.Protein,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,cluster
Sweet potato tots,35.705,0.0,5.733333333333333,2.168333333333333,5.508666666666667,4.650166666666666,2.003833333333333,13.523333333333332,0.7816666666666667,25.666666666666668,59.333333333333336,410.6666666666667,274.8333333333333,0.38,435.3333333333333,0.0,0.1773333333333333,7.166666666666667,2.015,10.433333333333332,14
Sweet potatoes,13.6,0.0,1.5,1.1,0.004,0.044,0.021,0.1,0.38,12.333333333333334,24.0,253.0,20.0,0.16,327.0,0.0,0.103,9.766666666666667,0.52,1.4333333333333331,2
Sweet potatoes and chicken,11.04,11.0,1.3,2.51,0.98,0.48,0.572,2.17,0.45,13.0,25.0,200.0,22.0,0.37,216.0,0.05,0.137,0.0,0.58,1.3,2
Sweetbreads,0.0,347.0,0.0,22.48,0.895,0.312,0.934,3.08,1.23,24.0,622.0,431.0,381.0,2.11,0.0,2.83,0.027,39.1,0.09,0.0,3
Swiss steak,8.825,17.5,2.45,11.745,2.842,2.209,2.0685,8.085,1.68,30.5,138.0,265.0,465.5,1.35,19.0,1.31,0.202,4.0,0.6,4.65,1
Swordfish,5.1085714285714285,78.28571428571429,0.2571428571428571,22.795714285714286,4.741142857142856,2.6867142857142854,2.3495714285714286,10.927142857142856,0.7642857142857142,34.714285714285715,292.85714285714283,469.1428571428572,403.8571428571428,0.84,38.0,1.6114285714285714,0.5389999999999999,0.2142857142857142,2.62,4.1571428571428575,10
Syrup,69.6,0.0,0.0,0.0,0.032,0.05,0.018,0.1,0.07,2.0,10.0,6.0,61.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,6
Szechuan beef,7.29,14.0,1.5,7.08,1.217,2.13,0.978,5.3,1.11,15.0,76.0,204.0,409.0,1.5,63.0,0.48,0.161,11.6,0.82,51.3,13
TWIX Caramel Cookie Bars,64.8,7.0,1.1,4.91,2.988,0.628,18.96,24.85,0.81,27.0,105.0,186.0,198.0,1.06,20.0,0.33,0.025,0.6,0.74,5.6,10
TWIX Chocolate Fudge Cookie Bars,56.0,6.0,3.0,7.3,14.319,12.521,4.962,33.3,1.31,46.0,147.0,309.0,266.0,0.92,9.0,0.33,0.04,1.0,2.71,18.6,10
TWIX Peanut Butter Cookie Bars,54.14,6.0,3.1,9.18,12.317,3.407,15.758,32.67,1.32,61.0,173.0,264.0,226.0,1.61,20.0,0.26,0.114,0.3,3.42,6.0,10
Tabbouleh,9.65,0.0,1.8,1.64,6.905,1.07,1.342,9.66,0.74,22.0,39.0,154.0,495.0,0.3,33.0,0.0,0.069,15.8,1.56,100.8,4
Table fat,0.36,129.0,0.0,0.58,22.305,12.199,35.966,74.68,0.02,2.0,20.0,25.0,663.0,0.05,738.0,0.11,1.128,0.0,8.63,43.9,9
Taco or tostada salad,18.29,8.0,3.5,5.13,2.8915,1.689,2.6420000000000003,8.13,1.77,22.0,112.5,224.5,259.5,0.565,32.0,0.06,0.0735,3.05,0.8,12.3,1
Taco or tostada salad with chicken,16.21,19.0,2.8,7.86,3.073,1.839,2.29,8.04,1.67,21.0,127.0,221.0,322.0,0.7,31.0,0.1,0.105,3.1,0.88,12.7,1
Taco or tostada salad with chicken and sour cream,14.78,24.0,2.5,7.19,3.261,1.71,3.261,9.44,1.47,19.0,121.0,209.0,286.0,0.66,42.0,0.11,0.097,2.8,0.82,11.3,1
Taco or tostada salad with meat,16.4,15.0,2.9,7.49,3.662,1.795,2.893,9.34,1.9,20.0,121.0,223.0,328.0,1.25,30.0,0.38,0.118,3.1,0.85,13.0,1
Taco or tostada salad with meat and sour cream,14.93,21.0,2.5,6.86,3.779,1.671,3.799,10.59,1.67,19.0,115.0,211.0,291.0,1.14,42.0,0.36,0.108,2.9,0.79,11.6,1
Taco or tostada with beans,20.79,6.0,3.7,5.74,2.102,1.421,2.887,7.36,1.22,40.0,130.0,272.0,405.0,0.9,24.0,0.07,0.121,3.5,0.4,4.5,1
Taco or tostada with beans and sour cream,18.9,12.0,3.2,5.36,2.394,1.348,3.737,8.77,1.08,36.0,124.0,255.0,361.0,0.83,36.0,0.08,0.112,3.2,0.4,4.1,1
Taco or tostada with chicken,19.405,35.0,2.7,10.21,3.901,2.4435,4.593,12.575,0.95,36.5,169.0,238.5,453.5,1.185,48.0,0.175,0.1695,1.85,0.935,7.05,7
Taco or tostada with chicken and beans,20.63,21.0,3.2,8.51,3.061,2.049,3.597,9.95,1.11,39.0,155.0,258.0,448.0,1.09,34.0,0.12,0.153,2.6,0.72,6.1,1
Taco or tostada with chicken and sour cream,17.73,47.0,2.2,11.01,4.54,2.638,5.605,14.82,0.8,33.0,174.0,218.0,434.0,1.21,62.0,0.21,0.174,1.2,1.06,7.4,7
